ISO3,Year_base,WAshare_base,OldDep_base
OMN,2017,0.7583238393343603,0.031055911221040632
PAK,2017,0.607269639659387,0.07401883294842887
PAN,2017,0.6469385668768285,0.12239367852722235
PER,2017,0.6546344008181441,0.10924144425179468
PHL,2017,0.63481605507687,0.07565405387161143
PNG,2017,0.6025542826574003,0.0632009948965892
POL,2017,0.6841971142691811,0.24499864854469572
PRI,2017,0.6689509602577686,0.22674850180884776
PRT,2017,0.648630341083107,0.3315008542497788
PRY,2017,0.6422283450567491,0.09931469583998566
PSE,2017,0.5738344601322894,0.053031132057764316
PYF,2017,0.6893999088361772,0.11278542323364342
QAT,2017,0.8481580290473175,0.015408752771985126
ROU,2017,0.6688585969444247,0.26687740400449056
RUS,2017,0.6821612112761857,0.20784599725780478
RWA,2017,0.568883884687003,0.05228615125973951
SAU,2017,0.7153984947513697,0.04606409757821567
SDN,2017,0.5562948319321408,0.06378065716352879
SEN,2017,0.5411012110797045,0.05559511335339763
SGP,2017,0.7209671520188675,0.17922592178749233
SLB,2017,0.5765045154684032,0.06083554173452653
SLE,2017,0.5537125331405286,0.04582768454134438
SLV,2017,0.6434961733987911,0.12856531625262785
SOM,2017,0.5083644095383131,0.05372686959925941
SSD,2017,0.548852256022998,0.0627021001537334
STP,2017,0.5427427603791961,0.0531754691290116
SUR,2017,0.6663217382969886,0.10404973801767149
SVK,2017,0.6956103370583564,0.21664700682157043
SVN,2017,0.6597585741373939,0.28892020736262664
SWE,2017,0.6247994970285149,0.31986429381087594
SWZ,2017,0.5965080372776382,0.05303232799315332
SYC,2017,0.6915566251834024,0.12444288418096343
SYR,2017,0.5907991781878227,0.07352557106041113
TCD,2017,0.5037155719660021,0.04934993782442652
TGO,2017,0.5557991888371101,0.051070708674207745
THA,2017,0.713080843453906,0.1594899690688445
TJK,2017,0.6128228675884337,0.05656109714601781
TKM,2017,0.6481108703863705,0.06599772607359686
TLS,2017,0.5283870922949817,0.06729357007915861
TON,2017,0.5834845399000185,0.09974931776353367
TTO,2017,0.693247877293892,0.14445452371244374
TUN,2017,0.679892356371032,0.11768415830155964
TWN,2017,0.7323605368490306,0.18322496729484755
TZA,2017,0.519821272437547,0.05979614559003741
UGA,2017,0.5012045832207848,0.04326100628535597
UKR,2017,0.6804524809257962,0.24192397921892791
URY,2017,0.6428575974542562,0.22796753484612983
USA,2017,0.6567356212384534,0.23469612726172273
UZB,2017,0.6754659676062289,0.06616022453169057
VEN,2017,0.6579091295589511,0.10053506504395879
VNM,2017,0.6978941771473548,0.10244810503018055
VUT,2017,0.5970772215867132,0.07359084267517083
WSM,2017,0.5780849114233354,0.09697161827772348
ZAF,2017,0.6567057593649441,0.08138314696719151
ZMB,2017,0.5273892850937719,0.04701904914344687
ZWE,2017,0.5597321073371025,0.05041525810072676
